"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","","","0","0","0","2","0"
"","Security Test","Employee accesses own record","0","0","1","0","0"
"","Get Employees - search","Admin accesses all employees with valid params","0","0","1","0","0"
"","Get Employees - search","Manager accesses all employees with department param","0","0","1","0","0"
"","Delete Employee By ID","Admin can delete employee record","0","0","1","0","0"
"","Get Employees - get_all","Employee tries to list all employees","0","0","1","0","0"
"","Create Employee Test","Employee tries to access create employee endpoint","0","0","1","0","0"
"","Security Test","Access Denied","1","0","3","0","0"
"","Get Employees - search","Admin accesses all employees with unknown params","0","0","1","0","0"
"","Get Employees - search","Manager accesses all employees with valid params","0","0","1","0","0"
"","Get Employees - search","Admin accesses all employees with department param","0","0","1","0","0"
"","Get Employees - search","Admin accesses all employees with position param","0","0","1","0","0"
"","Delete Employee By ID","Manager cannot delete employee record","0","0","1","0","0"
"","Create Employee Test","Manager tries to access create employee endpoint","0","0","1","0","0"
"","Get Employees - by_id","Employee accesses own record","0","0","1","0","0"
"","Get Employees - by_id","Manager accesses a specific employee","0","0","1","0","0"
"","Delete Employee By ID","Employee cannot delete own record","0","0","1","0","0"
"","Get Employees - get_all","Manager accesses all employees","0","0","1","0","0"
"","Get Employees - search","Manager accesses all employees with valid department and invalid position param","0","0","1","0","0"
"","Get Employees - search","Employee tries to list all employees","0","0","1","0","0"
"","Create Employee Test","Admin tries to create employee with incomplete request body","0","0","1","0","0"
"","Get Employees - search","Manager accesses all employees with position param","0","0","1","0","0"
"","Get Employees - by_id","Employee tries to access another employee","0","0","1","0","0"
"","Get Employees - search","Manager accesses all employees with salary param","0","0","1","0","0"
"","Get Employees - search","Manager accesses all employees with unknown params","0","0","1","0","0"
"","Get Employees - get_all","Admin accesses all employees","0","0","1","0","0"
"","Get Employees - by_id","Admin accesses a specific employee","0","0","1","0","0"
"","Security Test","Access Granted","0","0","1","0","0"
"","Employees can access their own personal records","","0","0","1","0","0"
